filename,class_id,species,breed_id,breed_name
Bombay_86,8,1,4,Bombay
Bombay_214,8,1,4,Bombay
Bombay_13,8,1,4,Bombay
Bombay_104,8,1,4,Bombay
Bombay_90,8,1,4,Bombay
Bombay_23,8,1,4,Bombay
Bombay_178,8,1,4,Bombay
Bombay_118,8,1,4,Bombay
Bombay_198,8,1,4,Bombay
Bombay_181,8,1,4,Bombay
Bombay_136,8,1,4,Bombay
Bombay_79,8,1,4,Bombay
Bombay_191,8,1,4,Bombay
Bombay_140,8,1,4,Bombay
Bombay_205,8,1,4,Bombay
Bombay_41,8,1,4,Bombay
Bombay_170,8,1,4,Bombay
Bombay_171,8,1,4,Bombay
Bombay_126,8,1,4,Bombay
Bombay_53,8,1,4,Bombay
Bombay_75,8,1,4,Bombay
Bombay_47,8,1,4,Bombay
Bombay_62,8,1,4,Bombay
Bombay_45,8,1,4,Bombay
Bombay_33,8,1,4,Bombay
Bombay_152,8,1,4,Bombay
Bombay_132,8,1,4,Bombay
Bombay_91,8,1,4,Bombay
Bombay_1,8,1,4,Bombay
Bombay_67,8,1,4,Bombay
Bombay_60,8,1,4,Bombay
Bombay_130,8,1,4,Bombay
Bombay_122,8,1,4,Bombay
Bombay_179,8,1,4,Bombay
Bombay_83,8,1,4,Bombay
Bombay_153,8,1,4,Bombay
Bombay_161,8,1,4,Bombay
Bombay_5,8,1,4,Bombay
Bombay_73,8,1,4,Bombay
Bombay_25,8,1,4,Bombay
Bombay_10,8,1,4,Bombay
Bombay_162,8,1,4,Bombay
Bombay_184,8,1,4,Bombay
Bombay_57,8,1,4,Bombay
Bombay_65,8,1,4,Bombay
Bombay_80,8,1,4,Bombay
Bombay_64,8,1,4,Bombay
Bombay_108,8,1,4,Bombay
Bombay_43,8,1,4,Bombay
Bombay_55,8,1,4,Bombay
Bombay_72,8,1,4,Bombay
Bombay_176,8,1,4,Bombay
Bombay_84,8,1,4,Bombay
Bombay_27,8,1,4,Bombay
Bombay_135,8,1,4,Bombay
Bombay_119,8,1,4,Bombay
Bombay_56,8,1,4,Bombay
Bombay_128,8,1,4,Bombay
Bombay_112,8,1,4,Bombay
Bombay_63,8,1,4,Bombay
Bombay_123,8,1,4,Bombay
Bombay_188,8,1,4,Bombay
Bombay_58,8,1,4,Bombay
Bombay_49,8,1,4,Bombay
Bombay_2,8,1,4,Bombay
Bombay_39,8,1,4,Bombay
Bombay_15,8,1,4,Bombay
Bombay_107,8,1,4,Bombay
Bombay_12,8,1,4,Bombay
Bombay_78,8,1,4,Bombay
Bombay_31,8,1,4,Bombay
Bombay_129,8,1,4,Bombay
Bombay_134,8,1,4,Bombay
Bombay_100,8,1,4,Bombay
Bombay_4,8,1,4,Bombay
Bombay_144,8,1,4,Bombay
Bombay_66,8,1,4,Bombay
Bombay_139,8,1,4,Bombay
Bombay_159,8,1,4,Bombay
Bombay_82,8,1,4,Bombay
Bombay_145,8,1,4,Bombay
Bombay_105,8,1,4,Bombay
Bombay_115,8,1,4,Bombay
Bombay_70,8,1,4,Bombay
Bombay_164,8,1,4,Bombay
Bombay_173,8,1,4,Bombay
Bombay_160,8,1,4,Bombay
Bombay_95,8,1,4,Bombay
Bombay_137,8,1,4,Bombay
Bombay_127,8,1,4,Bombay
Bombay_154,8,1,4,Bombay
Bombay_36,8,1,4,Bombay
Bombay_50,8,1,4,Bombay
Bombay_81,8,1,4,Bombay
Bombay_59,8,1,4,Bombay
Bombay_186,8,1,4,Bombay
Bombay_109,8,1,4,Bombay
Bombay_106,8,1,4,Bombay
Bombay_61,8,1,4,Bombay
Bombay_88,8,1,4,Bombay
Bombay_89,8,1,4,Bombay
Bombay_221,8,1,4,Bombay
Bombay_96,8,1,4,Bombay
Bombay_18,8,1,4,Bombay
Bombay_120,8,1,4,Bombay
Bombay_110,8,1,4,Bombay
Bombay_167,8,1,4,Bombay
Bombay_103,8,1,4,Bombay
Bombay_185,8,1,4,Bombay
Bombay_37,8,1,4,Bombay
