filename,class_id,species,breed_id,breed_name
Egyptian_Mau_181,12,1,6,Egyptian_Mau
Egyptian_Mau_124,12,1,6,Egyptian_Mau
Egyptian_Mau_141,12,1,6,Egyptian_Mau
Egyptian_Mau_104,12,1,6,Egyptian_Mau
Egyptian_Mau_73,12,1,6,Egyptian_Mau
Egyptian_Mau_4,12,1,6,Egyptian_Mau
Egyptian_Mau_195,12,1,6,Egyptian_Mau
Egyptian_Mau_164,12,1,6,Egyptian_Mau
Egyptian_Mau_153,12,1,6,Egyptian_Mau
Egyptian_Mau_224,12,1,6,Egyptian_Mau
Egyptian_Mau_118,12,1,6,Egyptian_Mau
Egyptian_Mau_61,12,1,6,Egyptian_Mau
Egyptian_Mau_74,12,1,6,Egyptian_Mau
Egyptian_Mau_142,12,1,6,Egyptian_Mau
Egyptian_Mau_163,12,1,6,Egyptian_Mau
Egyptian_Mau_213,12,1,6,Egyptian_Mau
Egyptian_Mau_220,12,1,6,Egyptian_Mau
Egyptian_Mau_58,12,1,6,Egyptian_Mau
Egyptian_Mau_209,12,1,6,Egyptian_Mau
Egyptian_Mau_68,12,1,6,Egyptian_Mau
Egyptian_Mau_92,12,1,6,Egyptian_Mau
Egyptian_Mau_59,12,1,6,Egyptian_Mau
Egyptian_Mau_75,12,1,6,Egyptian_Mau
Egyptian_Mau_12,12,1,6,Egyptian_Mau
Egyptian_Mau_198,12,1,6,Egyptian_Mau
Egyptian_Mau_81,12,1,6,Egyptian_Mau
Egyptian_Mau_52,12,1,6,Egyptian_Mau
Egyptian_Mau_33,12,1,6,Egyptian_Mau
Egyptian_Mau_63,12,1,6,Egyptian_Mau
Egyptian_Mau_18,12,1,6,Egyptian_Mau
Egyptian_Mau_80,12,1,6,Egyptian_Mau
Egyptian_Mau_136,12,1,6,Egyptian_Mau
Egyptian_Mau_187,12,1,6,Egyptian_Mau
Egyptian_Mau_23,12,1,6,Egyptian_Mau
Egyptian_Mau_219,12,1,6,Egyptian_Mau
Egyptian_Mau_131,12,1,6,Egyptian_Mau
Egyptian_Mau_121,12,1,6,Egyptian_Mau
Egyptian_Mau_150,12,1,6,Egyptian_Mau
Egyptian_Mau_51,12,1,6,Egyptian_Mau
Egyptian_Mau_84,12,1,6,Egyptian_Mau
Egyptian_Mau_54,12,1,6,Egyptian_Mau
Egyptian_Mau_185,12,1,6,Egyptian_Mau
Egyptian_Mau_57,12,1,6,Egyptian_Mau
Egyptian_Mau_19,12,1,6,Egyptian_Mau
Egyptian_Mau_10,12,1,6,Egyptian_Mau
Egyptian_Mau_28,12,1,6,Egyptian_Mau
Egyptian_Mau_82,12,1,6,Egyptian_Mau
Egyptian_Mau_175,12,1,6,Egyptian_Mau
Egyptian_Mau_47,12,1,6,Egyptian_Mau
Egyptian_Mau_3,12,1,6,Egyptian_Mau
Egyptian_Mau_56,12,1,6,Egyptian_Mau
Egyptian_Mau_108,12,1,6,Egyptian_Mau
Egyptian_Mau_53,12,1,6,Egyptian_Mau
Egyptian_Mau_184,12,1,6,Egyptian_Mau
Egyptian_Mau_152,12,1,6,Egyptian_Mau
Egyptian_Mau_122,12,1,6,Egyptian_Mau
Egyptian_Mau_67,12,1,6,Egyptian_Mau
Egyptian_Mau_87,12,1,6,Egyptian_Mau
Egyptian_Mau_60,12,1,6,Egyptian_Mau
Egyptian_Mau_78,12,1,6,Egyptian_Mau
Egyptian_Mau_134,12,1,6,Egyptian_Mau
Egyptian_Mau_119,12,1,6,Egyptian_Mau
Egyptian_Mau_88,12,1,6,Egyptian_Mau
Egyptian_Mau_126,12,1,6,Egyptian_Mau
Egyptian_Mau_112,12,1,6,Egyptian_Mau
Egyptian_Mau_174,12,1,6,Egyptian_Mau
Egyptian_Mau_2,12,1,6,Egyptian_Mau
Egyptian_Mau_29,12,1,6,Egyptian_Mau
Egyptian_Mau_222,12,1,6,Egyptian_Mau
Egyptian_Mau_193,12,1,6,Egyptian_Mau
Egyptian_Mau_161,12,1,6,Egyptian_Mau
Egyptian_Mau_107,12,1,6,Egyptian_Mau
Egyptian_Mau_128,12,1,6,Egyptian_Mau
Egyptian_Mau_7,12,1,6,Egyptian_Mau
Egyptian_Mau_93,12,1,6,Egyptian_Mau
Egyptian_Mau_127,12,1,6,Egyptian_Mau
Egyptian_Mau_133,12,1,6,Egyptian_Mau
Egyptian_Mau_100,12,1,6,Egyptian_Mau
Egyptian_Mau_46,12,1,6,Egyptian_Mau
Egyptian_Mau_146,12,1,6,Egyptian_Mau
Egyptian_Mau_42,12,1,6,Egyptian_Mau
Egyptian_Mau_140,12,1,6,Egyptian_Mau
Egyptian_Mau_160,12,1,6,Egyptian_Mau
Egyptian_Mau_49,12,1,6,Egyptian_Mau
Egyptian_Mau_147,12,1,6,Egyptian_Mau
Egyptian_Mau_105,12,1,6,Egyptian_Mau
Egyptian_Mau_115,12,1,6,Egyptian_Mau
Egyptian_Mau_70,12,1,6,Egyptian_Mau
Egyptian_Mau_168,12,1,6,Egyptian_Mau
Egyptian_Mau_178,12,1,6,Egyptian_Mau
Egyptian_Mau_162,12,1,6,Egyptian_Mau
Egyptian_Mau_96,12,1,6,Egyptian_Mau
Egyptian_Mau_138,12,1,6,Egyptian_Mau
Egyptian_Mau_125,12,1,6,Egyptian_Mau
Egyptian_Mau_154,12,1,6,Egyptian_Mau
Egyptian_Mau_8,12,1,6,Egyptian_Mau
Egyptian_Mau_50,12,1,6,Egyptian_Mau
Egyptian_Mau_83,12,1,6,Egyptian_Mau
Egyptian_Mau_6,12,1,6,Egyptian_Mau
Egyptian_Mau_192,12,1,6,Egyptian_Mau
Egyptian_Mau_109,12,1,6,Egyptian_Mau
Egyptian_Mau_106,12,1,6,Egyptian_Mau
Egyptian_Mau_5,12,1,6,Egyptian_Mau
Egyptian_Mau_218,12,1,6,Egyptian_Mau
Egyptian_Mau_85,12,1,6,Egyptian_Mau
Egyptian_Mau_90,12,1,6,Egyptian_Mau
Egyptian_Mau_97,12,1,6,Egyptian_Mau
Egyptian_Mau_27,12,1,6,Egyptian_Mau
Egyptian_Mau_43,12,1,6,Egyptian_Mau
Egyptian_Mau_194,12,1,6,Egyptian_Mau
Egyptian_Mau_11,12,1,6,Egyptian_Mau
Egyptian_Mau_110,12,1,6,Egyptian_Mau
Egyptian_Mau_170,12,1,6,Egyptian_Mau
Egyptian_Mau_103,12,1,6,Egyptian_Mau
