filename,class_id,species,breed_id,breed_name
Ragdoll_153,27,1,9,Ragdoll
Ragdoll_265,27,1,9,Ragdoll
Ragdoll_13,27,1,9,Ragdoll
Ragdoll_49,27,1,9,Ragdoll
Ragdoll_122,27,1,9,Ragdoll
Ragdoll_20,27,1,9,Ragdoll
Ragdoll_81,27,1,9,Ragdoll
Ragdoll_156,27,1,9,Ragdoll
Ragdoll_63,27,1,9,Ragdoll
Ragdoll_59,27,1,9,Ragdoll
Ragdoll_186,27,1,9,Ragdoll
Ragdoll_87,27,1,9,Ragdoll
Ragdoll_84,27,1,9,Ragdoll
Ragdoll_90,27,1,9,Ragdoll
Ragdoll_227,27,1,9,Ragdoll
Ragdoll_134,27,1,9,Ragdoll
Ragdoll_105,27,1,9,Ragdoll
Ragdoll_80,27,1,9,Ragdoll
Ragdoll_25,27,1,9,Ragdoll
Ragdoll_124,27,1,9,Ragdoll
Ragdoll_75,27,1,9,Ragdoll
Ragdoll_191,27,1,9,Ragdoll
Ragdoll_69,27,1,9,Ragdoll
Ragdoll_73,27,1,9,Ragdoll
Ragdoll_26,27,1,9,Ragdoll
Ragdoll_176,27,1,9,Ragdoll
Ragdoll_82,27,1,9,Ragdoll
Ragdoll_12,27,1,9,Ragdoll
Ragdoll_43,27,1,9,Ragdoll
Ragdoll_155,27,1,9,Ragdoll
Ragdoll_183,27,1,9,Ragdoll
Ragdoll_196,27,1,9,Ragdoll
Ragdoll_85,27,1,9,Ragdoll
Ragdoll_258,27,1,9,Ragdoll
Ragdoll_189,27,1,9,Ragdoll
Ragdoll_31,27,1,9,Ragdoll
Ragdoll_86,27,1,9,Ragdoll
Ragdoll_37,27,1,9,Ragdoll
Ragdoll_198,27,1,9,Ragdoll
Ragdoll_3,27,1,9,Ragdoll
Ragdoll_128,27,1,9,Ragdoll
Ragdoll_4,27,1,9,Ragdoll
Ragdoll_250,27,1,9,Ragdoll
Ragdoll_136,27,1,9,Ragdoll
Ragdoll_127,27,1,9,Ragdoll
Ragdoll_74,27,1,9,Ragdoll
Ragdoll_143,27,1,9,Ragdoll
Ragdoll_203,27,1,9,Ragdoll
Ragdoll_52,27,1,9,Ragdoll
Ragdoll_175,27,1,9,Ragdoll
Ragdoll_88,27,1,9,Ragdoll
Ragdoll_234,27,1,9,Ragdoll
Ragdoll_145,27,1,9,Ragdoll
Ragdoll_259,27,1,9,Ragdoll
Ragdoll_92,27,1,9,Ragdoll
Ragdoll_62,27,1,9,Ragdoll
Ragdoll_112,27,1,9,Ragdoll
Ragdoll_78,27,1,9,Ragdoll
Ragdoll_181,27,1,9,Ragdoll
Ragdoll_166,27,1,9,Ragdoll
Ragdoll_185,27,1,9,Ragdoll
Ragdoll_224,27,1,9,Ragdoll
Ragdoll_245,27,1,9,Ragdoll
Ragdoll_44,27,1,9,Ragdoll
Ragdoll_110,27,1,9,Ragdoll
Ragdoll_51,27,1,9,Ragdoll
Ragdoll_54,27,1,9,Ragdoll
Ragdoll_193,27,1,9,Ragdoll
Ragdoll_139,27,1,9,Ragdoll
Ragdoll_168,27,1,9,Ragdoll
Ragdoll_131,27,1,9,Ragdoll
Ragdoll_115,27,1,9,Ragdoll
Ragdoll_5,27,1,9,Ragdoll
Ragdoll_184,27,1,9,Ragdoll
Ragdoll_57,27,1,9,Ragdoll
Ragdoll_147,27,1,9,Ragdoll
Ragdoll_93,27,1,9,Ragdoll
Ragdoll_58,27,1,9,Ragdoll
Ragdoll_29,27,1,9,Ragdoll
Ragdoll_164,27,1,9,Ragdoll
Ragdoll_10,27,1,9,Ragdoll
Ragdoll_133,27,1,9,Ragdoll
Ragdoll_7,27,1,9,Ragdoll
Ragdoll_30,27,1,9,Ragdoll
Ragdoll_132,27,1,9,Ragdoll
Ragdoll_138,27,1,9,Ragdoll
Ragdoll_100,27,1,9,Ragdoll
Ragdoll_8,27,1,9,Ragdoll
Ragdoll_148,27,1,9,Ragdoll
Ragdoll_35,27,1,9,Ragdoll
Ragdoll_142,27,1,9,Ragdoll
Ragdoll_163,27,1,9,Ragdoll
Ragdoll_47,27,1,9,Ragdoll
Ragdoll_149,27,1,9,Ragdoll
Ragdoll_263,27,1,9,Ragdoll
Ragdoll_106,27,1,9,Ragdoll
Ragdoll_118,27,1,9,Ragdoll
Ragdoll_72,27,1,9,Ragdoll
Ragdoll_16,27,1,9,Ragdoll
Ragdoll_178,27,1,9,Ragdoll
Ragdoll_165,27,1,9,Ragdoll
Ragdoll_96,27,1,9,Ragdoll
Ragdoll_140,27,1,9,Ragdoll
Ragdoll_130,27,1,9,Ragdoll
Ragdoll_158,27,1,9,Ragdoll
Ragdoll_42,27,1,9,Ragdoll
Ragdoll_48,27,1,9,Ragdoll
Ragdoll_83,27,1,9,Ragdoll
Ragdoll_64,27,1,9,Ragdoll
Ragdoll_41,27,1,9,Ragdoll
Ragdoll_190,27,1,9,Ragdoll
Ragdoll_111,27,1,9,Ragdoll
Ragdoll_107,27,1,9,Ragdoll
Ragdoll_60,27,1,9,Ragdoll
Ragdoll_254,27,1,9,Ragdoll
Ragdoll_260,27,1,9,Ragdoll
Ragdoll_68,27,1,9,Ragdoll
Ragdoll_97,27,1,9,Ragdoll
Ragdoll_6,27,1,9,Ragdoll
Ragdoll_40,27,1,9,Ragdoll
