filename,class_id,species,breed_id,breed_name
Siamese_59,33,1,11,Siamese
Siamese_133,33,1,11,Siamese
Siamese_185,33,1,11,Siamese
Siamese_139,33,1,11,Siamese
Siamese_126,33,1,11,Siamese
Siamese_159,33,1,11,Siamese
Siamese_89,33,1,11,Siamese
Siamese_205,33,1,11,Siamese
Siamese_104,33,1,11,Siamese
Siamese_56,33,1,11,Siamese
Siamese_28,33,1,11,Siamese
Siamese_67,33,1,11,Siamese
Siamese_194,33,1,11,Siamese
Siamese_27,33,1,11,Siamese
Siamese_83,33,1,11,Siamese
Siamese_53,33,1,11,Siamese
Siamese_125,33,1,11,Siamese
Siamese_86,33,1,11,Siamese
Siamese_249,33,1,11,Siamese
Siamese_92,33,1,11,Siamese
Siamese_79,33,1,11,Siamese
Siamese_87,33,1,11,Siamese
Siamese_61,33,1,11,Siamese
Siamese_37,33,1,11,Siamese
Siamese_234,33,1,11,Siamese
Siamese_85,33,1,11,Siamese
Siamese_73,33,1,11,Siamese
Siamese_22,33,1,11,Siamese
Siamese_145,33,1,11,Siamese
Siamese_50,33,1,11,Siamese
Siamese_51,33,1,11,Siamese
Siamese_225,33,1,11,Siamese
Siamese_71,33,1,11,Siamese
Siamese_32,33,1,11,Siamese
Siamese_75,33,1,11,Siamese
Siamese_65,33,1,11,Siamese
Siamese_232,33,1,11,Siamese
Siamese_157,33,1,11,Siamese
Siamese_130,33,1,11,Siamese
Siamese_20,33,1,11,Siamese
Siamese_90,33,1,11,Siamese
Siamese_141,33,1,11,Siamese
Siamese_129,33,1,11,Siamese
Siamese_81,33,1,11,Siamese
Siamese_149,33,1,11,Siamese
Siamese_54,33,1,11,Siamese
Siamese_238,33,1,11,Siamese
Siamese_170,33,1,11,Siamese
Siamese_180,33,1,11,Siamese
Siamese_202,33,1,11,Siamese
Siamese_14,33,1,11,Siamese
Siamese_198,33,1,11,Siamese
Siamese_160,33,1,11,Siamese
Siamese_21,33,1,11,Siamese
Siamese_112,33,1,11,Siamese
Siamese_72,33,1,11,Siamese
Siamese_19,33,1,11,Siamese
Siamese_188,33,1,11,Siamese
Siamese_18,33,1,11,Siamese
Siamese_84,33,1,11,Siamese
Siamese_227,33,1,11,Siamese
Siamese_110,33,1,11,Siamese
Siamese_17,33,1,11,Siamese
Siamese_46,33,1,11,Siamese
Siamese_52,33,1,11,Siamese
Siamese_189,33,1,11,Siamese
Siamese_247,33,1,11,Siamese
Siamese_144,33,1,11,Siamese
Siamese_171,33,1,11,Siamese
Siamese_136,33,1,11,Siamese
Siamese_115,33,1,11,Siamese
Siamese_40,33,1,11,Siamese
Siamese_187,33,1,11,Siamese
Siamese_30,33,1,11,Siamese
Siamese_151,33,1,11,Siamese
Siamese_250,33,1,11,Siamese
Siamese_58,33,1,11,Siamese
Siamese_63,33,1,11,Siamese
Siamese_168,33,1,11,Siamese
Siamese_109,33,1,11,Siamese
Siamese_138,33,1,11,Siamese
Siamese_78,33,1,11,Siamese
Siamese_5,33,1,11,Siamese
Siamese_137,33,1,11,Siamese
Siamese_143,33,1,11,Siamese
Siamese_100,33,1,11,Siamese
Siamese_25,33,1,11,Siamese
Siamese_152,33,1,11,Siamese
Siamese_36,33,1,11,Siamese
Siamese_148,33,1,11,Siamese
Siamese_167,33,1,11,Siamese
Siamese_49,33,1,11,Siamese
Siamese_153,33,1,11,Siamese
Siamese_80,33,1,11,Siamese
Siamese_106,33,1,11,Siamese
Siamese_119,33,1,11,Siamese
Siamese_70,33,1,11,Siamese
Siamese_173,33,1,11,Siamese
Siamese_182,33,1,11,Siamese
Siamese_169,33,1,11,Siamese
Siamese_96,33,1,11,Siamese
Siamese_146,33,1,11,Siamese
Siamese_135,33,1,11,Siamese
Siamese_161,33,1,11,Siamese
Siamese_33,33,1,11,Siamese
Siamese_47,33,1,11,Siamese
Siamese_82,33,1,11,Siamese
Siamese_64,33,1,11,Siamese
Siamese_42,33,1,11,Siamese
Siamese_196,33,1,11,Siamese
Siamese_111,33,1,11,Siamese
Siamese_108,33,1,11,Siamese
Siamese_60,33,1,11,Siamese
Siamese_44,33,1,11,Siamese
Siamese_24,33,1,11,Siamese
Siamese_93,33,1,11,Siamese
Siamese_97,33,1,11,Siamese
Siamese_69,33,1,11,Siamese
Siamese_41,33,1,11,Siamese
