filename,class_id,species,breed_id,breed_name
chihuahua_146,11,2,6,chihuahua
chihuahua_34,11,2,6,chihuahua
chihuahua_134,11,2,6,chihuahua
chihuahua_54,11,2,6,chihuahua
chihuahua_118,11,2,6,chihuahua
chihuahua_195,11,2,6,chihuahua
chihuahua_81,11,2,6,chihuahua
chihuahua_149,11,2,6,chihuahua
chihuahua_66,11,2,6,chihuahua
chihuahua_62,11,2,6,chihuahua
chihuahua_175,11,2,6,chihuahua
chihuahua_87,11,2,6,chihuahua
chihuahua_84,11,2,6,chihuahua
chihuahua_90,11,2,6,chihuahua
chihuahua_199,11,2,6,chihuahua
chihuahua_129,11,2,6,chihuahua
chihuahua_104,11,2,6,chihuahua
chihuahua_80,11,2,6,chihuahua
chihuahua_29,11,2,6,chihuahua
chihuahua_119,11,2,6,chihuahua
chihuahua_75,11,2,6,chihuahua
chihuahua_180,11,2,6,chihuahua
chihuahua_6,11,2,6,chihuahua
chihuahua_73,11,2,6,chihuahua
chihuahua_35,11,2,6,chihuahua
chihuahua_166,11,2,6,chihuahua
chihuahua_82,11,2,6,chihuahua
chihuahua_124,11,2,6,chihuahua
chihuahua_4,11,2,6,chihuahua
chihuahua_148,11,2,6,chihuahua
chihuahua_172,11,2,6,chihuahua
chihuahua_185,11,2,6,chihuahua
chihuahua_85,11,2,6,chihuahua
chihuahua_27,11,2,6,chihuahua
chihuahua_178,11,2,6,chihuahua
chihuahua_3,11,2,6,chihuahua
chihuahua_86,11,2,6,chihuahua
chihuahua_45,11,2,6,chihuahua
chihuahua_187,11,2,6,chihuahua
chihuahua_46,11,2,6,chihuahua
chihuahua_122,11,2,6,chihuahua
chihuahua_55,11,2,6,chihuahua
chihuahua_22,11,2,6,chihuahua
chihuahua_130,11,2,6,chihuahua
chihuahua_121,11,2,6,chihuahua
chihuahua_74,11,2,6,chihuahua
chihuahua_138,11,2,6,chihuahua
chihuahua_191,11,2,6,chihuahua
chihuahua_57,11,2,6,chihuahua
chihuahua_165,11,2,6,chihuahua
chihuahua_88,11,2,6,chihuahua
chihuahua_1,11,2,6,chihuahua
chihuahua_139,11,2,6,chihuahua
chihuahua_28,11,2,6,chihuahua
chihuahua_92,11,2,6,chihuahua
chihuahua_65,11,2,6,chihuahua
chihuahua_10,11,2,6,chihuahua
chihuahua_78,11,2,6,chihuahua
chihuahua_170,11,2,6,chihuahua
chihuahua_157,11,2,6,chihuahua
chihuahua_174,11,2,6,chihuahua
chihuahua_198,11,2,6,chihuahua
chihuahua_20,11,2,6,chihuahua
chihuahua_50,11,2,6,chihuahua
chihuahua_108,11,2,6,chihuahua
chihuahua_56,11,2,6,chihuahua
chihuahua_59,11,2,6,chihuahua
chihuahua_182,11,2,6,chihuahua
chihuahua_133,11,2,6,chihuahua
chihuahua_158,11,2,6,chihuahua
chihuahua_126,11,2,6,chihuahua
chihuahua_112,11,2,6,chihuahua
chihuahua_63,11,2,6,chihuahua
chihuahua_173,11,2,6,chihuahua
chihuahua_60,11,2,6,chihuahua
chihuahua_140,11,2,6,chihuahua
chihuahua_93,11,2,6,chihuahua
chihuahua_61,11,2,6,chihuahua
chihuahua_37,11,2,6,chihuahua
chihuahua_155,11,2,6,chihuahua
chihuahua_107,11,2,6,chihuahua
chihuahua_128,11,2,6,chihuahua
chihuahua_7,11,2,6,chihuahua
chihuahua_39,11,2,6,chihuahua
chihuahua_127,11,2,6,chihuahua
chihuahua_132,11,2,6,chihuahua
chihuahua_100,11,2,6,chihuahua
chihuahua_8,11,2,6,chihuahua
chihuahua_141,11,2,6,chihuahua
chihuahua_43,11,2,6,chihuahua
chihuahua_137,11,2,6,chihuahua
chihuahua_154,11,2,6,chihuahua
chihuahua_52,11,2,6,chihuahua
chihuahua_142,11,2,6,chihuahua
chihuahua_32,11,2,6,chihuahua
chihuahua_105,11,2,6,chihuahua
chihuahua_115,11,2,6,chihuahua
chihuahua_72,11,2,6,chihuahua
chihuahua_15,11,2,6,chihuahua
chihuahua_168,11,2,6,chihuahua
chihuahua_156,11,2,6,chihuahua
chihuahua_96,11,2,6,chihuahua
chihuahua_135,11,2,6,chihuahua
chihuahua_125,11,2,6,chihuahua
chihuahua_14,11,2,6,chihuahua
chihuahua_49,11,2,6,chihuahua
chihuahua_53,11,2,6,chihuahua
chihuahua_83,11,2,6,chihuahua
chihuahua_67,11,2,6,chihuahua
chihuahua_48,11,2,6,chihuahua
chihuahua_17,11,2,6,chihuahua
chihuahua_109,11,2,6,chihuahua
chihuahua_106,11,2,6,chihuahua
chihuahua_64,11,2,6,chihuahua
chihuahua_24,11,2,6,chihuahua
chihuahua_2,11,2,6,chihuahua
chihuahua_69,11,2,6,chihuahua
chihuahua_97,11,2,6,chihuahua
chihuahua_70,11,2,6,chihuahua
chihuahua_47,11,2,6,chihuahua
