filename,class_id,species,breed_id,breed_name
pomeranian_146,25,2,17,pomeranian
pomeranian_34,25,2,17,pomeranian
pomeranian_134,25,2,17,pomeranian
pomeranian_54,25,2,17,pomeranian
pomeranian_118,25,2,17,pomeranian
pomeranian_195,25,2,17,pomeranian
pomeranian_81,25,2,17,pomeranian
pomeranian_149,25,2,17,pomeranian
pomeranian_66,25,2,17,pomeranian
pomeranian_62,25,2,17,pomeranian
pomeranian_175,25,2,17,pomeranian
pomeranian_87,25,2,17,pomeranian
pomeranian_84,25,2,17,pomeranian
pomeranian_90,25,2,17,pomeranian
pomeranian_199,25,2,17,pomeranian
pomeranian_129,25,2,17,pomeranian
pomeranian_104,25,2,17,pomeranian
pomeranian_80,25,2,17,pomeranian
pomeranian_29,25,2,17,pomeranian
pomeranian_119,25,2,17,pomeranian
pomeranian_75,25,2,17,pomeranian
pomeranian_180,25,2,17,pomeranian
pomeranian_6,25,2,17,pomeranian
pomeranian_73,25,2,17,pomeranian
pomeranian_35,25,2,17,pomeranian
pomeranian_166,25,2,17,pomeranian
pomeranian_82,25,2,17,pomeranian
pomeranian_124,25,2,17,pomeranian
pomeranian_4,25,2,17,pomeranian
pomeranian_148,25,2,17,pomeranian
pomeranian_172,25,2,17,pomeranian
pomeranian_185,25,2,17,pomeranian
pomeranian_85,25,2,17,pomeranian
pomeranian_27,25,2,17,pomeranian
pomeranian_178,25,2,17,pomeranian
pomeranian_3,25,2,17,pomeranian
pomeranian_86,25,2,17,pomeranian
pomeranian_45,25,2,17,pomeranian
pomeranian_187,25,2,17,pomeranian
pomeranian_46,25,2,17,pomeranian
pomeranian_122,25,2,17,pomeranian
pomeranian_55,25,2,17,pomeranian
pomeranian_22,25,2,17,pomeranian
pomeranian_130,25,2,17,pomeranian
pomeranian_121,25,2,17,pomeranian
pomeranian_74,25,2,17,pomeranian
pomeranian_138,25,2,17,pomeranian
pomeranian_191,25,2,17,pomeranian
pomeranian_57,25,2,17,pomeranian
pomeranian_165,25,2,17,pomeranian
pomeranian_88,25,2,17,pomeranian
pomeranian_1,25,2,17,pomeranian
pomeranian_139,25,2,17,pomeranian
pomeranian_28,25,2,17,pomeranian
pomeranian_92,25,2,17,pomeranian
pomeranian_65,25,2,17,pomeranian
pomeranian_10,25,2,17,pomeranian
pomeranian_78,25,2,17,pomeranian
pomeranian_170,25,2,17,pomeranian
pomeranian_157,25,2,17,pomeranian
pomeranian_174,25,2,17,pomeranian
pomeranian_198,25,2,17,pomeranian
pomeranian_20,25,2,17,pomeranian
pomeranian_50,25,2,17,pomeranian
pomeranian_108,25,2,17,pomeranian
pomeranian_56,25,2,17,pomeranian
pomeranian_59,25,2,17,pomeranian
pomeranian_182,25,2,17,pomeranian
pomeranian_133,25,2,17,pomeranian
pomeranian_158,25,2,17,pomeranian
pomeranian_126,25,2,17,pomeranian
pomeranian_112,25,2,17,pomeranian
pomeranian_63,25,2,17,pomeranian
pomeranian_173,25,2,17,pomeranian
pomeranian_60,25,2,17,pomeranian
pomeranian_140,25,2,17,pomeranian
pomeranian_93,25,2,17,pomeranian
pomeranian_61,25,2,17,pomeranian
pomeranian_37,25,2,17,pomeranian
pomeranian_155,25,2,17,pomeranian
pomeranian_107,25,2,17,pomeranian
pomeranian_128,25,2,17,pomeranian
pomeranian_7,25,2,17,pomeranian
pomeranian_39,25,2,17,pomeranian
pomeranian_127,25,2,17,pomeranian
pomeranian_132,25,2,17,pomeranian
pomeranian_100,25,2,17,pomeranian
pomeranian_8,25,2,17,pomeranian
pomeranian_141,25,2,17,pomeranian
pomeranian_43,25,2,17,pomeranian
pomeranian_137,25,2,17,pomeranian
pomeranian_154,25,2,17,pomeranian
pomeranian_52,25,2,17,pomeranian
pomeranian_142,25,2,17,pomeranian
pomeranian_32,25,2,17,pomeranian
pomeranian_105,25,2,17,pomeranian
pomeranian_115,25,2,17,pomeranian
pomeranian_72,25,2,17,pomeranian
pomeranian_15,25,2,17,pomeranian
pomeranian_168,25,2,17,pomeranian
pomeranian_156,25,2,17,pomeranian
pomeranian_96,25,2,17,pomeranian
pomeranian_135,25,2,17,pomeranian
pomeranian_125,25,2,17,pomeranian
pomeranian_14,25,2,17,pomeranian
pomeranian_49,25,2,17,pomeranian
pomeranian_53,25,2,17,pomeranian
pomeranian_83,25,2,17,pomeranian
pomeranian_67,25,2,17,pomeranian
pomeranian_48,25,2,17,pomeranian
pomeranian_17,25,2,17,pomeranian
pomeranian_109,25,2,17,pomeranian
pomeranian_106,25,2,17,pomeranian
pomeranian_64,25,2,17,pomeranian
pomeranian_24,25,2,17,pomeranian
pomeranian_2,25,2,17,pomeranian
pomeranian_69,25,2,17,pomeranian
pomeranian_97,25,2,17,pomeranian
pomeranian_70,25,2,17,pomeranian
pomeranian_47,25,2,17,pomeranian
