filename,class_id,species,breed_id,breed_name
pug_147,26,2,18,pug
pug_33,26,2,18,pug
pug_135,26,2,18,pug
pug_53,26,2,18,pug
pug_119,26,2,18,pug
pug_197,26,2,18,pug
pug_80,26,2,18,pug
pug_14,26,2,18,pug
pug_65,26,2,18,pug
pug_61,26,2,18,pug
pug_177,26,2,18,pug
pug_87,26,2,18,pug
pug_84,26,2,18,pug
pug_90,26,2,18,pug
pug_1,26,2,18,pug
pug_12,26,2,18,pug
pug_104,26,2,18,pug
pug_7,26,2,18,pug
pug_28,26,2,18,pug
pug_11,26,2,18,pug
pug_74,26,2,18,pug
pug_182,26,2,18,pug
pug_69,26,2,18,pug
pug_72,26,2,18,pug
pug_34,26,2,18,pug
pug_168,26,2,18,pug
pug_81,26,2,18,pug
pug_125,26,2,18,pug
pug_49,26,2,18,pug
pug_149,26,2,18,pug
pug_174,26,2,18,pug
pug_187,26,2,18,pug
pug_85,26,2,18,pug
pug_26,26,2,18,pug
pug_17,26,2,18,pug
pug_39,26,2,18,pug
pug_86,26,2,18,pug
pug_44,26,2,18,pug
pug_189,26,2,18,pug
pug_45,26,2,18,pug
pug_123,26,2,18,pug
pug_54,26,2,18,pug
pug_21,26,2,18,pug
pug_131,26,2,18,pug
pug_122,26,2,18,pug
pug_73,26,2,18,pug
pug_139,26,2,18,pug
pug_193,26,2,18,pug
pug_56,26,2,18,pug
pug_167,26,2,18,pug
pug_88,26,2,18,pug
pug_201,26,2,18,pug
pug_13,26,2,18,pug
pug_27,26,2,18,pug
pug_92,26,2,18,pug
pug_64,26,2,18,pug
pug_10,26,2,18,pug
pug_77,26,2,18,pug
pug_172,26,2,18,pug
pug_159,26,2,18,pug
pug_176,26,2,18,pug
pug_19,26,2,18,pug
pug_203,26,2,18,pug
pug_4,26,2,18,pug
pug_108,26,2,18,pug
pug_55,26,2,18,pug
pug_58,26,2,18,pug
pug_184,26,2,18,pug
pug_134,26,2,18,pug
pug_15,26,2,18,pug
pug_127,26,2,18,pug
pug_112,26,2,18,pug
pug_62,26,2,18,pug
pug_175,26,2,18,pug
pug_5,26,2,18,pug
pug_141,26,2,18,pug
pug_93,26,2,18,pug
pug_60,26,2,18,pug
pug_36,26,2,18,pug
pug_157,26,2,18,pug
pug_107,26,2,18,pug
pug_129,26,2,18,pug
pug_79,26,2,18,pug
pug_38,26,2,18,pug
pug_128,26,2,18,pug
pug_133,26,2,18,pug
pug_100,26,2,18,pug
pug_8,26,2,18,pug
pug_142,26,2,18,pug
pug_42,26,2,18,pug
pug_138,26,2,18,pug
pug_156,26,2,18,pug
pug_51,26,2,18,pug
pug_143,26,2,18,pug
pug_31,26,2,18,pug
pug_105,26,2,18,pug
pug_116,26,2,18,pug
pug_71,26,2,18,pug
pug_161,26,2,18,pug
pug_16,26,2,18,pug
pug_158,26,2,18,pug
pug_96,26,2,18,pug
pug_136,26,2,18,pug
pug_126,26,2,18,pug
pug_150,26,2,18,pug
pug_48,26,2,18,pug
pug_52,26,2,18,pug
pug_82,26,2,18,pug
pug_66,26,2,18,pug
pug_47,26,2,18,pug
pug_181,26,2,18,pug
pug_109,26,2,18,pug
pug_106,26,2,18,pug
pug_63,26,2,18,pug
pug_23,26,2,18,pug
pug_29,26,2,18,pug
pug_68,26,2,18,pug
pug_97,26,2,18,pug
pug_6,26,2,18,pug
pug_46,26,2,18,pug
