[18:51:51] Data generators loaded from CSV files
[18:51:51] Welcome to Real-Time Model Training Interface!
[18:51:51] Select a model and configure parameters to begin training.
[18:52:20] Loading proposed model...
[18:52:23] Proposed Siamese CapsNet + MobileNetV2 loaded successfully.
[18:52:28] Reloading data generators with current batch size...
[18:52:41] Data generators loaded from CSV files
[18:52:41] Model directory created: models\Proposed Siamese CapsNet + MobileNetV2_20251007_185241
[18:52:41] Starting training for 50 epochs...
[18:52:41] Preparing model and data for training...
[18:52:43] [RoutingEntropy] mean_norm_entropy=0.9823
[18:52:45] Adaptive threshold mechanism enabled
[18:52:45] Batch sizes - Train: 32, Val: 16
[18:52:45] Data ready - Train: 625 batches, Val: 625 batches
[18:52:45] Training with learning rate: 5.00e-05
[18:52:45] Mixed precision training enabled
[18:52:45] Starting training with 50 epochs...
[18:52:45] Model parameters: 5,643,785
[18:52:45] [Pre-Train Distances] n=16 min=0.02743 max=0.16021 mean=0.06954 std=0.02951 spread=0.13278
[18:52:45] Models will be saved to: models\Proposed Siamese CapsNet + MobileNetV2_20251007_185241\models
[18:52:46] Training started - Preparing data...
[18:52:46] [ThresholdSync] Epoch 1: train threshold (dist) = 0.5000
[18:52:46] Starting Epoch 1...
[18:53:01]    Batch 0: Loss 1.0901
[18:53:30]    Batch 20: Loss 1.0720
[18:53:53]    Batch 40: Loss 1.0548
[18:54:16]    Batch 60: Loss 1.0392
[18:54:41]    Batch 80: Loss 1.0250
[18:55:04]    Batch 100: Loss 1.0116
[18:55:31]    Batch 120: Loss 0.9990
[18:55:57]    Batch 140: Loss 0.9866
[18:56:23]    Batch 160: Loss 0.9746
[18:56:50]    Batch 180: Loss 0.9631
[18:57:17]    Batch 200: Loss 0.9518
[18:57:42]    Batch 220: Loss 0.9407
[18:58:07]    Batch 240: Loss 0.9298
[18:58:31]    Batch 260: Loss 0.9192
[18:58:54]    Batch 280: Loss 0.9088
[18:59:17]    Batch 300: Loss 0.8986
[18:59:40]    Batch 320: Loss 0.8885
[19:00:03]    Batch 340: Loss 0.8786
[19:00:26]    Batch 360: Loss 0.8688
[19:00:49]    Batch 380: Loss 0.8593
[19:01:12]    Batch 400: Loss 0.8499
[19:01:35]    Batch 420: Loss 0.8406
[19:01:58]    Batch 440: Loss 0.8316
[19:02:22]    Batch 460: Loss 0.8226
[19:02:47]    Batch 480: Loss 0.8138
[19:03:11]    Batch 500: Loss 0.8052
[19:03:36]    Batch 520: Loss 0.7967
[19:04:02]    Batch 540: Loss 0.7883
[19:04:27]    Batch 560: Loss 0.7800
[19:04:53]    Batch 580: Loss 0.7719
[19:05:18]    Batch 600: Loss 0.7638
[19:05:46]    Batch 620: Loss 0.7560
[19:26:53] [Val Epoch 1] raw_min=0.0041 raw_max=0.9999 mode=dist->sim thr_score=0.650 thr_dist=0.441 f1=0.9110 auc=0.9646 acc=0.9110 edge_fb=0
[19:26:57] Epoch 1/50: loss=0.7544, val_loss=0.5188, acc=0.8132, val_acc=0.9110, val_f1=0.9110, val_auc=0.9646, thr=0.441, precision=0.8166, recall=0.8078 [2046.9s/epoch, ETA: 1671.8min]
[19:27:08] [ThresholdSync] Epoch 2: train threshold (dist) = 0.4410
[19:27:08] Starting Epoch 2...
[19:27:08]    Batch 0: Loss 0.5110
[19:27:27]    Batch 20: Loss 0.5039
[19:27:52]    Batch 40: Loss 0.4979
[19:28:18]    Batch 60: Loss 0.4922
[19:28:43]    Batch 80: Loss 0.4867
[19:29:07]    Batch 100: Loss 0.4812
[19:29:32]    Batch 120: Loss 0.4759
[19:29:59]    Batch 140: Loss 0.4706
[19:30:25]    Batch 160: Loss 0.4653
[19:30:51]    Batch 180: Loss 0.4601
[19:31:16]    Batch 200: Loss 0.4550
[19:31:42]    Batch 220: Loss 0.4500
[19:32:06]    Batch 240: Loss 0.4451
[19:32:34]    Batch 260: Loss 0.4401
[19:33:01]    Batch 280: Loss 0.4353
[19:33:26]    Batch 300: Loss 0.4306
[19:33:52]    Batch 320: Loss 0.4259
[19:34:17]    Batch 340: Loss 0.4214
[19:34:45]    Batch 360: Loss 0.4169
[19:35:10]    Batch 380: Loss 0.4125
[19:35:35]    Batch 400: Loss 0.4081
[19:36:00]    Batch 420: Loss 0.4038
[19:36:26]    Batch 440: Loss 0.3996
[19:36:53]    Batch 460: Loss 0.3954
[19:37:19]    Batch 480: Loss 0.3913
