filename,class_id,species,breed_id,breed_name,split
Abyssinian_60,1,1,1,Abyssinian,train
Abyssinian_124,1,1,1,Abyssinian,train
Abyssinian_158,1,1,1,Abyssinian,train
Abyssinian_129,1,1,1,Abyssinian,train
Abyssinian_119,1,1,1,Abyssinian,train
Abyssinian_169,1,1,1,Abyssinian,train
Abyssinian_27,1,1,1,Abyssinian,train
Abyssinian_192,1,1,1,Abyssinian,train
Abyssinian_104,1,1,1,Abyssinian,train
Abyssinian_178,1,1,1,Abyssinian,train
Abyssinian_8,1,1,1,Abyssinian,train
Abyssinian_61,1,1,1,Abyssinian,train
Abyssinian_206,1,1,1,Abyssinian,train
Abyssinian_77,1,1,1,Abyssinian,train
Abyssinian_176,1,1,1,Abyssinian,train
Abyssinian_73,1,1,1,Abyssinian,train
Abyssinian_118,1,1,1,Abyssinian,train
Abyssinian_87,1,1,1,Abyssinian,train
Abyssinian_63,1,1,1,Abyssinian,train
Abyssinian_24,1,1,1,Abyssinian,train
Abyssinian_215,1,1,1,Abyssinian,train
Abyssinian_146,1,1,1,Abyssinian,train
Abyssinian_14,1,1,1,Abyssinian,train
Abyssinian_80,1,1,1,Abyssinian,train
Abyssinian_217,1,1,1,Abyssinian,train
Abyssinian_37,1,1,1,Abyssinian,train
Abyssinian_74,1,1,1,Abyssinian,train
Abyssinian_212,1,1,1,Abyssinian,train
Abyssinian_134,1,1,1,Abyssinian,train
Abyssinian_50,1,1,1,Abyssinian,train
Abyssinian_3,1,1,1,Abyssinian,train
Abyssinian_201,1,1,1,Abyssinian,train
Abyssinian_179,1,1,1,Abyssinian,train
Abyssinian_58,1,1,1,Abyssinian,train
Abyssinian_76,1,1,1,Abyssinian,train
Abyssinian_18,1,1,1,Abyssinian,train
Abyssinian_67,1,1,1,Abyssinian,train
Abyssinian_72,1,1,1,Abyssinian,train
Abyssinian_122,1,1,1,Abyssinian,train
Abyssinian_21,1,1,1,Abyssinian,train
Abyssinian_85,1,1,1,Abyssinian,train
Abyssinian_130,1,1,1,Abyssinian,train
Abyssinian_121,1,1,1,Abyssinian,train
Abyssinian_184,1,1,1,Abyssinian,train
Abyssinian_138,1,1,1,Abyssinian,train
Abyssinian_92,1,1,1,Abyssinian,train
Abyssinian_88,1,1,1,Abyssinian,train
Abyssinian_65,1,1,1,Abyssinian,train
Abyssinian_168,1,1,1,Abyssinian,train
Abyssinian_139,1,1,1,Abyssinian,train
Abyssinian_68,1,1,1,Abyssinian,train
Abyssinian_149,1,1,1,Abyssinian,train
Abyssinian_46,1,1,1,Abyssinian,train
Abyssinian_10,1,1,1,Abyssinian,train
Abyssinian_54,1,1,1,Abyssinian,train
Abyssinian_55,1,1,1,Abyssinian,train
Abyssinian_81,1,1,1,Abyssinian,train
Abyssinian_177,1,1,1,Abyssinian,train
Abyssinian_47,1,1,1,Abyssinian,train
Abyssinian_84,1,1,1,Abyssinian,train
Abyssinian_108,1,1,1,Abyssinian,train
Abyssinian_56,1,1,1,Abyssinian,train
Abyssinian_181,1,1,1,Abyssinian,train
Abyssinian_52,1,1,1,Abyssinian,train
Abyssinian_7,1,1,1,Abyssinian,train
Abyssinian_210,1,1,1,Abyssinian,train
Abyssinian_133,1,1,1,Abyssinian,train
Abyssinian_159,1,1,1,Abyssinian,train
Abyssinian_126,1,1,1,Abyssinian,train
Abyssinian_112,1,1,1,Abyssinian,train
Abyssinian_221,1,1,1,Abyssinian,train
Abyssinian_174,1,1,1,Abyssinian,train
Abyssinian_51,1,1,1,Abyssinian,train
Abyssinian_140,1,1,1,Abyssinian,train
Abyssinian_226,1,1,1,Abyssinian,train
Abyssinian_195,1,1,1,Abyssinian,train
Abyssinian_156,1,1,1,Abyssinian,train
Abyssinian_107,1,1,1,Abyssinian,train
Abyssinian_128,1,1,1,Abyssinian,train
Abyssinian_79,1,1,1,Abyssinian,train
Abyssinian_2,1,1,1,Abyssinian,train
Abyssinian_127,1,1,1,Abyssinian,train
Abyssinian_132,1,1,1,Abyssinian,train
Abyssinian_100,1,1,1,Abyssinian,train
Abyssinian_93,1,1,1,Abyssinian,train
Abyssinian_141,1,1,1,Abyssinian,train
Abyssinian_70,1,1,1,Abyssinian,train
Abyssinian_137,1,1,1,Abyssinian,train
Abyssinian_155,1,1,1,Abyssinian,train
Abyssinian_49,1,1,1,Abyssinian,train
Abyssinian_142,1,1,1,Abyssinian,train
Abyssinian_22,1,1,1,Abyssinian,train
Abyssinian_105,1,1,1,Abyssinian,train
Abyssinian_115,1,1,1,Abyssinian,train
Abyssinian_71,1,1,1,Abyssinian,train
Abyssinian_160,1,1,1,Abyssinian,train
Abyssinian_170,1,1,1,Abyssinian,train
Abyssinian_157,1,1,1,Abyssinian,train
Abyssinian_96,1,1,1,Abyssinian,train
Abyssinian_135,1,1,1,Abyssinian,train
Abyssinian_125,1,1,1,Abyssinian,train
Abyssinian_150,1,1,1,Abyssinian,train
Abyssinian_31,1,1,1,Abyssinian,train
Abyssinian_48,1,1,1,Abyssinian,train
Abyssinian_83,1,1,1,Abyssinian,train
Abyssinian_66,1,1,1,Abyssinian,train
Abyssinian_44,1,1,1,Abyssinian,train
Abyssinian_183,1,1,1,Abyssinian,train
Abyssinian_109,1,1,1,Abyssinian,train
Abyssinian_106,1,1,1,Abyssinian,train
Abyssinian_62,1,1,1,Abyssinian,train
Abyssinian_90,1,1,1,Abyssinian,train
Abyssinian_225,1,1,1,Abyssinian,train
Abyssinian_228,1,1,1,Abyssinian,train
Abyssinian_97,1,1,1,Abyssinian,train
Abyssinian_26,1,1,1,Abyssinian,train
Abyssinian_43,1,1,1,Abyssinian,train
Abyssinian_185,1,1,1,Abyssinian,train
Bengal_146,6,1,2,Bengal,train
Bengal_34,6,1,2,Bengal,train
Bengal_134,6,1,2,Bengal,train
Bengal_54,6,1,2,Bengal,train
Bengal_118,6,1,2,Bengal,train
Bengal_196,6,1,2,Bengal,train
Bengal_81,6,1,2,Bengal,train
Bengal_149,6,1,2,Bengal,train
Bengal_66,6,1,2,Bengal,train
Bengal_62,6,1,2,Bengal,train
Bengal_175,6,1,2,Bengal,train
Bengal_87,6,1,2,Bengal,train
Bengal_84,6,1,2,Bengal,train
Bengal_90,6,1,2,Bengal,train
Bengal_19,6,1,2,Bengal,train
Bengal_129,6,1,2,Bengal,train
Bengal_104,6,1,2,Bengal,train
Bengal_80,6,1,2,Bengal,train
Bengal_29,6,1,2,Bengal,train
Bengal_119,6,1,2,Bengal,train
Bengal_75,6,1,2,Bengal,train
Bengal_180,6,1,2,Bengal,train
Bengal_6,6,1,2,Bengal,train
Bengal_73,6,1,2,Bengal,train
Bengal_35,6,1,2,Bengal,train
Bengal_166,6,1,2,Bengal,train
Bengal_82,6,1,2,Bengal,train
Bengal_124,6,1,2,Bengal,train
Bengal_4,6,1,2,Bengal,train
Bengal_148,6,1,2,Bengal,train
Bengal_172,6,1,2,Bengal,train
Bengal_186,6,1,2,Bengal,train
Bengal_85,6,1,2,Bengal,train
Bengal_27,6,1,2,Bengal,train
Bengal_178,6,1,2,Bengal,train
Bengal_3,6,1,2,Bengal,train
Bengal_86,6,1,2,Bengal,train
Bengal_45,6,1,2,Bengal,train
Bengal_188,6,1,2,Bengal,train
Bengal_46,6,1,2,Bengal,train
Bengal_122,6,1,2,Bengal,train
Bengal_55,6,1,2,Bengal,train
Bengal_22,6,1,2,Bengal,train
Bengal_130,6,1,2,Bengal,train
Bengal_121,6,1,2,Bengal,train
Bengal_74,6,1,2,Bengal,train
Bengal_138,6,1,2,Bengal,train
Bengal_192,6,1,2,Bengal,train
Bengal_57,6,1,2,Bengal,train
Bengal_165,6,1,2,Bengal,train
Bengal_88,6,1,2,Bengal,train
Bengal_200,6,1,2,Bengal,train
Bengal_139,6,1,2,Bengal,train
Bengal_28,6,1,2,Bengal,train
Bengal_92,6,1,2,Bengal,train
Bengal_65,6,1,2,Bengal,train
Bengal_10,6,1,2,Bengal,train
Bengal_78,6,1,2,Bengal,train
Bengal_170,6,1,2,Bengal,train
Bengal_157,6,1,2,Bengal,train
Bengal_174,6,1,2,Bengal,train
Bengal_199,6,1,2,Bengal,train
Bengal_20,6,1,2,Bengal,train
Bengal_50,6,1,2,Bengal,train
Bengal_108,6,1,2,Bengal,train
Bengal_56,6,1,2,Bengal,train
Bengal_59,6,1,2,Bengal,train
Bengal_183,6,1,2,Bengal,train
Bengal_133,6,1,2,Bengal,train
Bengal_158,6,1,2,Bengal,train
Bengal_126,6,1,2,Bengal,train
Bengal_112,6,1,2,Bengal,train
Bengal_63,6,1,2,Bengal,train
