img1_path,img2_path,img1_breed,img2_breed,same_breed,label
(Preprocessed) breed_organized_with_images\Persian\train\Persian_49.jpg,(Preprocessed) breed_organized_with_images\Persian\train\Persian_271.jpg,Persian,Persian,True,1
(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_185.jpg,(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_4.jpg,chihuahua,chihuahua,True,1
(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_263.jpg,(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_90.jpg,Ragdoll,Ragdoll,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_67.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_127.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_69.jpg,(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_87.jpg,newfoundland,newfoundland,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_33.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_18.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_66.jpg,(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_129.jpg,scottish_terrier,scottish_terrier,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_166.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_154.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_17.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_69.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\pomeranian\train\pomeranian_140.jpg,(Preprocessed) breed_organized_with_images\pomeranian\train\pomeranian_3.jpg,pomeranian,pomeranian,True,1
(Preprocessed) breed_organized_with_images\Abyssinian\train\Abyssinian_157.jpg,(Preprocessed) breed_organized_with_images\Abyssinian\train\Abyssinian_48.jpg,Abyssinian,Abyssinian,True,1
(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_148.jpg,(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_112.jpg,Siamese,Siamese,True,1
